1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
13435	12830	11018	11241	10847	9899	9948	10803	13307	15150	16243	16512	18557	21630	19168	18751	19791	18931	20221	20913	18292	19244	20333	23233	22983	13706	9841	19175
4548	4844	4529	4623	6472	6592	6887	6935	8193	9208	9845	10311	11015	12020	11461	11393	12750	12498	13384	13918	7865	7648	8396	8880	8829	6402	6289	6939
473	388	369	966	932	1074	994	1096	1621	2202	2412	2612	3713	4306	3776	3343	3764	3462	3829	3927	3139	3637	4099	4468	4287	1705	2477	3366
1798	1681	1659	1718	1911	1941	1993	1959	2097	2241	2318	2382	2685	2780	2199	2137	2603	2603	2930	2924	2524	2870	3274	3449	3251	734	2090	2835
2880	4079	3620	3894	3153	2973	3104	2964	3566	4187	4813	5884	6943	8214	7241	7172	8096	7456	7042	6822	6056	6308	6970	7446	7302	3595	3085	5028
3691	3420	3156	3236	3698	3671	4003	4791	5271	5652	5293	5562	5978	6281	5617	5704	6366	6135	6490	7617	6685	7494	8508	9107	8650	3966	4473	8912
357	484	473	539	549	508	507	555	671	887	971	1024	1036	1193	1090	1065	1256	1286	1626	1864	1493	1537	1659	1779	1736	595	633	1269
1640	1636	1639	1630	1521	1406	1438	1579	1871	2068	2180	2380	2837	3234	2745	3026	3847	3877	4041	3657	2574	2649	3400	3665	3725	1245	1080	2232
27587	28352	27402	29490	37754	32857	32188	35036	39421	44906	43937	46527	54200	57262	49616	46459	55154	53327	56451	58422	58326	55338	59232	65362	63424	32646	40582	59185
18036	17616	17702	18365	18230	18611	18036	19297	23144	27634	29111	32903	36094	39921	34752	34557	38928	38054	41283	43277	36895	37476	40011	42895	41779	22068	22137	31257
4135	3723	3773	6188	8786	9221	9158	9916	10776	12721	13336	14409	15546	17438	14691	12478	14813	13210	16084	17820	15665	14727	16875	18821	20276	5015	12351	18141
2928	3562	3797	3646	3565	3733	4154	3728	4061	3914	4120	4254	4739	6443	5976	5587	5929	5057	5362	5864	5320	5674	6233	6887	7283	3229	4157	5573
2211	2470	2578	3297	2621	2615	2791	3097	3862	4375	4781	5372	6072	6359	4964	4085	4215	3866	4470	4864	4783	5199	5662	6782	6417	2372	2662	6947
28717	30015	29714	29814	28349	27498	25829	26893	31277	35398	35310	38276	42650	46217	40407	38432	43271	40943	43825	45562	39433	40381	44580	49066	49521	19895	24968	43699
20	215	192	182	118	131	119	161	222	267	341	480	671	801	724	639	771	744	865	953	895	899	951	1057	1016	799	748	1096
77	316	360	460	550	391	383	505	638	776	920	1038	1154	1248	972	958	1321	1317	1374	1383	1153	1210	1325	1504	1492	574	585	1174
1695	1640	1639	1634	1697	1686	1780	3087	3856	4554	4618	4650	5252	5960	5689	5683	6899	6825	7155	7294	5603	5679	5734	5292	5334	4363	5532	5329
656	632	635	653	667	587	561	614	722	767	755	767	965	1082	899	1066	1276	1260	1402	1521	1381	1451	1747	1848	1883	392	772	1590
6578	6568	6299	6796	6977	7197	6708	7710	9163	10308	8770	9273	11313	12874	12063	11653	12897	12295	13733	14684	13171	14263	16117	17781	18575	9658	9427	16037
6614	8444	8679	7946	6100	5677	4646	4314	4069	5855	6304	7270	10641	11826	9056	9414	10554	10801	11154	11614	10283	10847	12769	13992	14003	8239	9087	14408
4831	4791	4614	5470	5259	5244	5469	5803	6627	7678	7674	8420	10173	10985	9701	10004	11384	10997	12149	13651	12875	14217	17751	20057	20444	8838	11818	21971
590	529	526	260	252	359	362	335	449	503	1051	1307	1610	1992	1230	1136	1419	1466	1849	1987	1841	2032	3079	3388	3572	1441	3275	4671
623	673	545	488	461	433	641	736	865	905	1210	1521	2026	2681	2343	2227	2432	2295	2653	2600	2430	2751	2937	3193	3200	1305	1110	1341
1084	1240	1181	1088	958	961	1001	1086	1342	1624	1795	1961	2282	2697	2602	2627	2850	2626	2778	2843	2399	2517	2869	3181	3179	1413	1983	3090
25368	27168	26185	29117	32733	31528	32519	34130	42786	48746	51959	56181	63491	68875	59795	58348	67809	62936	68414	71656	62449	66982	75906	81420	79571	18379	34183	72097
3471	3686	3600	4188	4132	4064	4253	4710	5304	6198	6554	8375	10216	9996	7807	8336	10209	10104	9166	9231	8374	9129	10019	9973	9173	4347	6062	8962
20487	21389	22586	23689	24007	23569	21712	23708	26057	32114	34252	40160	44970	41470	37072	38567	42742	45398	50498	56748	55839	53026	54912	56043	58430	26668	32959	67587
